"","rn","Time","AverageINT_Ch1","AverageINT_Ch2","Ch1_firstSlope","Ch1_secondSlope","Ch2_firstSlope","Ch2_secondSlope"
"1","1",15,0,0,NA,NA,NA,NA
"2","2",25,0.00021497692326452,0.00725835471727188,2.1497692326452e-05,NA,0.000725835471727189,NA
"3","3",35,-0.00451641547355823,0.0222707365201375,-0.000473139239682275,-4.94636932008727e-05,0.00150123818028656,7.75402708559372e-05
"4","4",45,-0.000520585426419953,0.0211630771203171,0.000399583004713828,8.72722244396103e-05,-0.000110765939982038,-0.00016120041202686
"5","5",55,0.0174924178851757,0.0185874416938744,0.00180130033115956,0.000140171732644573,-0.000257563542644276,-1.46797602662237e-05
"6","6",65,0.0129593460195199,0.0221253769867451,-0.00045330718656558,-0.000225460751772514,0.000353793529287073,6.11357071931349e-05
"7","7",75,0.032044131456686,0.0496944197890144,0.00190847854371661,0.000236178573028219,0.00275690428022693,0.000240311075093986
"8","8",85,0.0252442177453864,0.0366394333894918,-0.000679991371129957,-0.000258846991484657,-0.00130549863995226,-0.000406240292017919
"9","9",95,0.0307273139009534,0.0429355836864031,0.000548309615556692,0.000122830098668665,0.000629615029691123,0.000193511366964338
"10","10",105,0.0368552594810343,0.0364395934941726,0.000612794558008098,6.44849424514062e-06,-0.000649599019223048,-0.000127921404891417
"11","11",115,0.0148900945594738,0.0337542257444866,-0.00219651649215605,-0.000280931105016415,-0.000268536774968595,3.81062244254454e-05
"12","12",125,0.0309765572528415,0.0459463233323469,0.00160864626933676,0.000380516276149281,0.00121920975878603,0.000148774653375462
"13","13",135,0.0453493173787787,0.0485792403065983,0.00143727601259372,-1.7137025674304e-05,0.00026329169742514,-9.55918061360886e-05
"14","14",155,0.0379847863565601,0.0457106235698426,-0.000368226551110928,-9.02751281852325e-05,-0.000143430836837787,-2.03361267131463e-05
"15","15",165,0.0472478811296689,0.0551312144803275,0.000926309477310878,0.000129453602842181,0.000942059091048491,0.000108548992788628
"16","16",175,0.0560854163082097,0.0620686976240235,0.000883753517854078,-4.25559594568005e-06,0.000693748314369603,-2.48310776678888e-05
"17","17",185,0.0649062192767012,0.0599859328781256,0.000882080296849156,-1.67322100492193e-07,-0.000208276474589794,-9.02024788959397e-05
"18","18",195,0.0597860039735573,0.0630381052072281,-0.000512021530314397,-0.000139410182716355,0.000305217232910257,5.13493707500051e-05
"19","19",205,0.0530416382356277,0.0520601893605843,-0.000674436573792962,-1.62415043478566e-05,-0.00109779158466438,-0.000140300881757464
"20","20",215,0.0494768609751833,0.0575153646255227,-0.000356477726044434,3.17958847748528e-05,0.000545517526493844,0.000164330911115823
"21","21",225,0.0680647533081415,0.0612868746234851,0.00185878923329582,0.000221526695934026,0.000377150999796237,-1.68366526697607e-05
"22","22",145,0.128652266789659,0.0464022783026034,-0.000757343918518964,3.27016643976848e-05,0.000186057454011022,2.38866932231518e-06
